,gender/Woman,gender/Man,dominant_gender,region/x,region/y,region/w,region/h,race/asian,race/indian,race/black,race/white,race/middle eastern,race/latino hispanic,dominant_race,index
1404,99.93985891342163,0.060145120369270444,Woman,37,26,36,36,0.595046883603559,0.7495512682409606,0.07778713242779761,66.97719895567882,16.574214884545192,15.026204589152883,white,1776
1405,0.00015353081153079984,99.99984502792358,Man,418,333,385,385,0.10908044127854355,0.44291627439357484,0.0305991783583047,58.16914189870011,21.160264084354882,20.088000302791613,white,1777
1406,89.92214798927307,10.07784754037857,Woman,118,333,386,385,0.16895988956093788,4.845024645328522,93.13716292381287,0.008140644058585167,0.006046832641004585,1.834668591618538,black,1778
1407,0.11646226048469543,99.88353848457336,Man,206,798,666,666,1.7756812274456024,7.085657864809036,0.7652335334569216,28.865334391593933,34.448930621147156,27.05915868282318,middle eastern,1779
1408,99.99310970306396,0.006884087633807212,Woman,521,187,108,108,99.0802526473999,0.33550013322383165,0.0013117959497321863,0.1663134666159749,0.0020868570572929457,0.4145300481468439,asian,1782
1409,0.7097859401255846,99.29021000862122,Man,66,38,52,52,2.592882327735424,3.121943026781082,0.7213178090751171,46.95564806461334,20.399807393550873,26.20839774608612,white,1783
1410,19.124704599380493,80.8752954006195,Man,295,172,554,554,0.4483926109969616,4.833896830677986,0.12526974314823747,14.44321870803833,67.36063957214355,12.788578867912292,middle eastern,1784
1411,98.53590726852417,1.464099157601595,Woman,171,542,555,554,84.30662751197815,0.14688585652038455,0.025915962760336697,13.79019021987915,0.4695816896855831,1.260801311582327,asian,1785
1412,0.000255596296483418,99.99974966049194,Man,379,231,267,267,0.4396445117890835,8.665266633033752,0.4795292392373085,34.944066405296326,33.76273214817047,21.708765625953674,white,1786
1413,0.04648311878554523,99.95352029800415,Man,30,47,74,74,0.00020092165868845768,0.0014471022950601764,1.0239857317628775e-05,97.06870913505554,1.5951711684465408,1.3344688341021538,white,1788
1414,55.08469343185425,44.91530954837799,Woman,345,15,186,186,44.22469437122345,3.6963950842618942,2.145661786198616,26.71504020690918,8.931420743465424,14.286792278289795,asian,1789
1415,7.474880665540695,92.52512454986572,Man,533,426,108,108,0.002039352996414822,0.005259658528853867,8.640414641816799e-05,96.98399341297228,2.0621265620438383,0.9464922164091806,white,1790
1416,0.13663682620972395,99.86335635185242,Man,589,376,385,385,0.09500253977223756,2.4755374371364787,0.08862369685076811,47.402462672893684,41.913477550330455,8.024891254318803,white,1791
1417,0.005582292578765191,99.99442100524902,Man,100,66,63,63,0.4309792537242174,23.011212050914764,0.5960741080343723,15.735548734664917,42.06152260303497,18.16466450691223,middle eastern,1792
1418,0.055100274039432406,99.94489550590515,Man,709,377,62,63,0.30424774158746004,2.4415483698248863,0.3993407357484102,45.519331097602844,30.89163899421692,20.44389098882675,white,1793
1419,0.019932049326598644,99.98007416725159,Man,632,162,385,385,6.200799589350936e-05,0.0009562252671457827,1.9301327824905457e-05,98.19155931472778,0.9772598743438721,0.830141082406044,white,1794
1420,0.017984888108912855,99.98201727867126,Man,442,236,155,155,5.9921469539403915,22.103780508041382,6.275048106908798,16.234828531742096,25.377118587493896,24.017077684402466,middle eastern,1795
1421,100.0,2.1628698831932525e-07,Woman,221,118,186,186,0.18492695984491228,2.002647012787701,4.0813883043990495,46.12398101377261,21.082528958622092,26.524532023016455,white,1796
1422,100.0,4.285536903125831e-06,Woman,205,384,321,321,0.5276150535792112,0.3618180984631181,0.042921482236124575,72.65318632125854,10.797973722219467,15.616488456726074,white,1797
1423,0.005726448580389842,99.99427795410156,Man,419,241,321,321,0.00048351431667032423,0.0012482281486952706,4.214626803713658e-05,95.87421964099642,1.352493905573357,2.7715112592591358,white,1798
1424,0.0001182420987788646,99.99988079071045,Man,304,118,185,186,4.026966542005539,8.25759619474411,21.336062252521515,23.07930588722229,12.905561923980713,30.394506454467773,latino hispanic,1799
1425,0.14532696222886443,99.85466599464417,Man,241,241,321,321,0.7222718559205532,0.4048151895403862,0.14227700885385275,73.71737360954285,9.82513576745987,15.188129246234894,white,1801
1426,99.88547563552856,0.11452132603153586,Woman,69,55,43,43,0.818041108878917,0.17735867188401055,0.020150359815101167,82.14747203275395,6.972880332045575,9.864096186405193,white,1802
1427,0.017252891848329455,99.98273849487305,Man,83,61,52,52,0.11628830106928945,2.149967849254608,0.04851585836149752,41.73411428928375,46.27456068992615,9.676553308963776,middle eastern,1803
1428,13.080497086048126,86.91949844360352,Man,312,277,321,321,0.1808221684768796,0.2953058807179332,0.025588335120119154,79.4434130191803,12.840268015861511,7.214607298374176,white,1805
1429,27.340734004974365,72.65926599502563,Man,448,284,186,185,0.0025353084912730786,0.002326010646754579,0.00010555415375856412,98.0898617559589,0.9902071797971237,0.914966090170508,white,1807
1430,0.03764672146644443,99.96235370635986,Man,283,345,186,186,0.4612666554749012,1.0886645875871181,0.11550168273970485,69.87389922142029,17.661939561367035,10.798730701208115,white,1809
1431,26.152774691581726,73.84722828865051,Man,407,407,186,186,0.019724936282727867,0.022723233269061893,0.001247878299182048,95.49224376678467,2.1900884807109833,2.273968979716301,white,1810
1432,96.00594639778137,3.994051367044449,Woman,216,192,223,223,31.74925446510315,9.443383663892746,4.4039275497198105,17.68093854188919,11.719662696123123,25.00283122062683,asian,1811
1433,99.55537915229797,0.44461670331656933,Woman,-37,112,297,267,1.440295483916998,2.7628378942608833,0.29450824949890375,50.377339124679565,18.82205903530121,26.30295753479004,white,1812
1434,1.284748874604702,98.71525168418884,Man,726,125,129,129,2.4251144379377365,9.372616559267044,0.8312530815601349,25.524267554283142,45.09895145893097,16.74780249595642,middle eastern,1813
1435,91.51023626327515,8.489767462015152,Woman,141,86,36,36,0.908458993102192,1.3185279153022664,0.1521000121429577,66.25552967256661,17.17303898013103,14.192347430270605,white,1815
1436,2.9808402061462402,97.01915383338928,Man,180,263,186,186,13.789080083370209,5.099999904632568,1.5323501080274582,37.8111869096756,18.135282397270203,23.632095754146576,white,1818
1437,99.70964193344116,0.2903573215007782,Woman,68,118,223,223,0.0012477023863261124,0.011396612487158923,5.702919223719177e-05,95.5652472713737,3.294992270767228,1.1270592660939256,white,1819
1438,52.21497416496277,47.78502881526947,Woman,584,170,62,62,0.2965543074151048,0.5741732413826276,0.07627563645437496,75.92122863784178,13.445136063711175,9.686633609132004,white,1820
